_id,endereco,latitude,longitude
cam-192-168-170-87,"ROD. SEN. ALMIR PINTO, CE-065",-3.85166,-38.64693
cam-192-168-170-88,R. 20,-3.86774,-38.62066
cam-192-168-170-89,AV. DOS FUNCIONARIOS X AV. JAIME PAULINO,-3.88351,-38.63015
cam-192-168-170-90,RUA 1,-3.84678,-38.60891
cam-192-168-170-91,RUA PAULO ALVES,-3.86396,-38.58551
cam-192-168-170-92,AV. ADAUTO LIMA,-3.87717,-38.61004
cam-192-168-170-93,AV M. GALDINO X AV MANOEL ALEXANDRE FERREIRA,-3.87251,-38.61338
cam-192-168-170-94,"Av. Wilson Camurça, 1441 - Distrito Industrial I, Maracanaú - CE, 61939-000",-3.87254,-38.606384
cam-192-168-170-85,AV. III,-3.87713,-38.6157
cam-192-168-170-96,Av. Dr. Mendel Steinbruch - Rua Luís Gonzaga dos Santos,-3.852365,-38.587983
cam-192-168-170-100,Rua Antônio Alencar - Rua Cap. Valdemar de Lima,-3.877608,-38.624416
cam-192-168-170-99,Av. Padre José Holanda do Vale - Rua Oriente,-3.875302,-38.627139
cam-192-168-170-98,"Rodovia Sen. Almir Pinto, 60",-3.85154,-38.646759
cam-192-168-170-97,"Av. dos Estruturantes, 2 - Antonio Justa, Maracanaú - Fórum",-3.881937,-38.630858
cam-192-168-170-95,Av. Central - Rua Um,-3.846716,-38.608918
cam-10-100-0-21,"R. Edson Queiroz, 86-394 - Piratininga, Maracanaú - CE, 61905-155",-3.879861,-38.629778
cam-10-100-0-23,"R. N, 300-336 - Mondubim, Fortaleza - CE, 60765-135",-3.837333,-38.589889
cam-10-100-0-25,"R. Edson Queiroz, 86-394 - Piratininga, Maracanaú - CE, 61905-155",-3.879861,-38.629778
cam-10-100-0-26,"R. Edson Queiroz, 86-394 - Piratininga, Maracanaú - CE, 61905-155",-3.879861,-38.629778
cam-10-100-0-27,"Alto da Mangueira, Maracanaú - CE, 61905-125",-3.8855,-38.633278
cam-10-100-0-28,"PRAÇA DA ESTAÇÃO - Centro, Maracanaú - CE, 61900-161",-3.877786,-38.624489
cam-10-100-0-31,"R. N, 300-336 - Mondubim, Fortaleza - CE, 60765-135",-3.837333,-38.589889
cam-10-100-0-32,"R. Siqueira campos 1088 -Siqueira, Maracanaú - CE, 60732-260",-3.815528,-38.625444
cam-10-100-0-33,"CE-060 - Pajuçara, Maracanaú - CE, 61939-000",-3.876139,-38.595444
cam-10-100-0-34,"CE-060 - Pajuçara, Maracanaú - CE, 61939-000",-3.876139,-38.595444
cam-10-100-0-35,"CE-060 - Pajuçara, Maracanaú - CE, 61939-000",-3.876139,-38.595444
cam-10-100-0-36,"Av. Central da Pajuçara, 92 - Boa Esperança, Maracanaú - CE",-3.846111,-38.576778
cam-10-100-0-37,"Av. Central da Pajuçara, 92 - Boa Esperança, Maracanaú - CE",-3.846111,-38.576778
cam-10-100-0-38,"Av I, n° 210 - A - Conj. Jereissati, Maracanaú - CE, 61900-410",-3.872333,-38.614472
cam-10-100-0-39,"R. João Henrique da Silva, 848-884 - Pajuçara, Maracanaú - CE, 61930-230",-3.863778,-38.583194
cam-10-100-0-40,"R. João Henrique da Silva, 848-884 - Pajuçara, Maracanaú - CE, 61930-230",-3.863778,-38.583194
cam-10-100-0-5,"Av. Gen. Osório de Paiva - Siqueira, Maracanaú - CE, 61923-075",-3.824056,-38.620917
cam-10-100-0-58,,-3.861858,-38.622756
cam-10-100-0-6,"R. João Andrade Filho, 1732-1924 - Coqueiral, Maracanaú - CE, 61905-350",-3.874656,-38.624878
cam-10-100-0-7,"R. Quatro, 2-62 - Novo Maracanaú, Maracanaú - CE, 61905-460",-3.865306,-38624
cam-10-100-0-72,"Av. Adauto Lima,nº519 Timbó",-3.877019,-38.610161
cam-10-100-0-8,"Av. dos Estruturantes, 93-1 - Antonio Justa, Maracanaú - CE, 61903-010",-3.883139,-38.631194
cam-10-100-0-82,,-3.876186,-38.623403
cam-10-100-0-9,"R. José Nogueira Mota,1100 - Mucuna, Maracanaú ",-3.846611,-38.657028
