id,tipo_desc,latitude,longitude,created_at
M20260271613,DISPARO DE ARMA,-3.7383969871775693,-38.64806531936445,2026-04-05 03:01:22.748 -0300
M20260271612,PERTURBAÇÃO AO SOSSEGO ALHEIO,-3.786167504433356,-38.54614648190486,2026-04-05 03:01:22.751 -0300
M20260271611,PERTURBAÇÃO AO SOSSEGO ALHEIO,-3.739275681750207,-38.528335717987595,2026-04-05 03:01:22.754 -0300
M20260271610,EMBRIAGUEZ E DESORDEM,-4.802635718804068,-39.06625660691209,2026-04-05 03:01:22.757 -0300
M20260271609,PERTURBAÇÃO AO SOSSEGO ALHEIO,-3.6717070100284595,-39.11640031138843,2026-04-05 03:01:22.762 -0300
M20260271606,MARIA DA PENHA,-2.797008063893894,-40.51208244228405,2026-04-05 03:01:22.769 -0300
M20260271605,PERTURBAÇÃO AO SOSSEGO ALHEIO,-3.586455321041291,-40.545177840985914,2026-04-05 03:01:22.772 -0300
M20260271607,PERTURBAÇÃO AO SOSSEGO ALHEIO,-3.874154799681482,-38.66210134427845,2026-04-05 03:01:22.777 -0300
M20260271604,MARIA DA PENHA,-4.4662329757687536,-38.89992452936432,2026-04-05 03:01:22.782 -0300
M20260271603,PERTURBAÇÃO AO SOSSEGO ALHEIO,-3.834361464009678,-38.52918192454059,2026-04-05 03:01:22.785 -0300
M20260271602,PERTURBAÇÃO AO SOSSEGO ALHEIO,-3.7337217636090982,-38.541422415793186,2026-04-05 03:01:22.789 -0300
M20260271600,PERTURBAÇÃO AO SOSSEGO ALHEIO,-3.7031876681564166,-40.33006045491864,2026-04-05 03:01:22.796 -0300
M20260271599,PERTURBAÇÃO AO SOSSEGO ALHEIO,-3.5793468034793188,-38.826629175502,2026-04-05 03:01:22.800 -0300
M20260271598,PERTURBAÇÃO AO SOSSEGO ALHEIO,-3.769120445756639,-38.51176428463071,2026-04-05 03:01:22.803 -0300
M20260271601,MARIA DA PENHA,-4.941031939655625,-37.9759492168617,2026-04-05 03:01:22.793 -0300
M20260271648,PERTURBAÇÃO AO SOSSEGO ALHEIO,-6.7520829939273925,-38.96275745843904,2026-04-05 03:11:23.705 -0300
M20260271649,PERTURBAÇÃO AO SOSSEGO ALHEIO,-3.6912618716026766,-38.66884931587601,2026-04-05 03:11:23.743 -0300
M20260271645,PERTURBAÇÃO AO SOSSEGO ALHEIO,-2.8962122561180528,-40.84097084301198,2026-04-05 03:11:23.746 -0300
M20260271644,PERTURBAÇÃO AO SOSSEGO ALHEIO,-3.5868712758872228,-38.89840939543609,2026-04-05 03:11:23.751 -0300
M20260271643,PERTURBAÇÃO AO SOSSEGO ALHEIO,-4.098446560530326,-38.15475434454864,2026-04-05 03:11:23.753 -0300
M20260271642,PERTURBAÇÃO AO SOSSEGO ALHEIO,-7.229524058923816,-39.318136504497545,2026-04-05 03:11:23.756 -0300
M20260271640,PERTURBAÇÃO AO SOSSEGO ALHEIO,-3.814755667025184,-38.510137371328604,2026-04-05 03:11:23.759 -0300
M20260271639,MARIA DA PENHA,-3.7898768178001343,-39.2570309830385,2026-04-05 03:11:23.762 -0300
M20260271638,PERTURBAÇÃO AO SOSSEGO ALHEIO,-3.7404838540411416,-38.4756052886407,2026-04-05 03:11:23.765 -0300
M20260271637,PERTURBAÇÃO AO SOSSEGO ALHEIO,-7.242762720250041,-39.41668023623363,2026-04-05 03:11:23.770 -0300
M20260271636,PERTURBAÇÃO AO SOSSEGO ALHEIO,-3.496966539607437,-39.57754841305726,2026-04-05 03:11:23.773 -0300
M20260271635,PERTURBAÇÃO AO SOSSEGO ALHEIO,-3.8169127388504647,-38.60024366413041,2026-04-05 03:11:23.776 -0300
M20260271634,PERTURBAÇÃO AO SOSSEGO ALHEIO,-4.100029215136337,-38.15184567408249,2026-04-05 03:11:23.780 -0300
M20260271631,PERTURBAÇÃO AO SOSSEGO ALHEIO,-3.735745308105395,-41.00152931458539,2026-04-05 03:11:23.786 -0300
