hex_id,janela_tempo,contagem_bruta,score_risco_total,hora,dia_semana,hora_sin,hora_cos,dia_sin,dia_cos,peso_cobertura
8980020ca53ffff,2026-03-10 18:00:00,2,16.5,18,1,-1.0,-1.8369701987210297e-16,0.7818314824680298,0.6234898018587336,0.0
8980020ca53ffff,2026-03-11 12:00:00,1,6.0,12,2,1.2246467991473532e-16,-1.0,0.9749279121818236,-0.22252093395631434,0.0
8980020ca53ffff,2026-03-11 18:00:00,2,15.5,18,2,-1.0,-1.8369701987210297e-16,0.9749279121818236,-0.22252093395631434,0.0
8980020ca53ffff,2026-03-12 12:00:00,1,8.0,12,3,1.2246467991473532e-16,-1.0,0.43388373911755823,-0.900968867902419,0.0
8980020ca53ffff,2026-03-13 18:00:00,2,16.5,18,4,-1.0,-1.8369701987210297e-16,-0.433883739117558,-0.9009688679024191,0.0
8980020ca53ffff,2026-03-14 18:00:00,1,8.0,18,5,-1.0,-1.8369701987210297e-16,-0.9749279121818236,-0.2225209339563146,0.0
8980020ca53ffff,2026-03-15 06:00:00,1,8.0,6,6,1.0,6.123233995736766e-17,-0.7818314824680299,0.6234898018587334,0.0
8980020ca53ffff,2026-03-26 12:00:00,8,53.5,12,3,1.2246467991473532e-16,-1.0,0.43388373911755823,-0.900968867902419,0.0
8980020ca53ffff,2026-03-26 18:00:00,2,3.0,18,3,-1.0,-1.8369701987210297e-16,0.43388373911755823,-0.900968867902419,0.0
8980020ca53ffff,2026-03-27 00:00:00,1,8.5,0,4,0.0,1.0,-0.433883739117558,-0.9009688679024191,0.0
8980020ca53ffff,2026-03-27 06:00:00,1,6.0,6,4,1.0,6.123233995736766e-17,-0.433883739117558,-0.9009688679024191,0.0
8980020ca53ffff,2026-03-27 18:00:00,2,7.0,18,4,-1.0,-1.8369701987210297e-16,-0.433883739117558,-0.9009688679024191,0.0
8980020ca53ffff,2026-03-28 00:00:00,2,2.0,0,5,0.0,1.0,-0.9749279121818236,-0.2225209339563146,0.0
8980020ca53ffff,2026-03-28 18:00:00,6,13.0,18,5,-1.0,-1.8369701987210297e-16,-0.9749279121818236,-0.2225209339563146,0.0
8980020ca53ffff,2026-03-29 00:00:00,1,1.0,0,6,0.0,1.0,-0.7818314824680299,0.6234898018587334,0.0
8980020ca53ffff,2026-03-29 06:00:00,5,17.0,6,6,1.0,6.123233995736766e-17,-0.7818314824680299,0.6234898018587334,0.0
8980020ca53ffff,2026-03-29 12:00:00,1,2.0,12,6,1.2246467991473532e-16,-1.0,-0.7818314824680299,0.6234898018587334,0.0
8980020ca53ffff,2026-03-29 18:00:00,8,16.5,18,6,-1.0,-1.8369701987210297e-16,-0.7818314824680299,0.6234898018587334,0.0
8980020ca53ffff,2026-03-30 00:00:00,1,8.5,0,0,0.0,1.0,0.0,1.0,0.0
8980020ca53ffff,2026-03-30 18:00:00,2,7.0,18,0,-1.0,-1.8369701987210297e-16,0.0,1.0,0.0
8980020ca53ffff,2026-03-31 00:00:00,1,1.0,0,1,0.0,1.0,0.7818314824680298,0.6234898018587336,0.0
8980020ca53ffff,2026-04-01 18:00:00,1,1.0,18,2,-1.0,-1.8369701987210297e-16,0.9749279121818236,-0.22252093395631434,0.0
8980020ca53ffff,2026-04-02 00:00:00,2,2.0,0,3,0.0,1.0,0.43388373911755823,-0.900968867902419,0.0
8980020ca53ffff,2026-04-02 18:00:00,2,2.0,18,3,-1.0,-1.8369701987210297e-16,0.43388373911755823,-0.900968867902419,0.0
8980020ca53ffff,2026-04-03 12:00:00,1,1.0,12,4,1.2246467991473532e-16,-1.0,-0.433883739117558,-0.9009688679024191,0.0
8980020ca53ffff,2026-04-03 18:00:00,7,39.5,18,4,-1.0,-1.8369701987210297e-16,-0.433883739117558,-0.9009688679024191,0.0
8980020ca53ffff,2026-04-04 00:00:00,7,21.5,0,5,0.0,1.0,-0.9749279121818236,-0.2225209339563146,0.0
8980020ca53ffff,2026-04-04 06:00:00,1,1.0,6,5,1.0,6.123233995736766e-17,-0.9749279121818236,-0.2225209339563146,0.0
8980020ca53ffff,2026-04-04 18:00:00,5,10.0,18,5,-1.0,-1.8369701987210297e-16,-0.9749279121818236,-0.2225209339563146,0.0
