"ocorrencia","tipo_desc","latitude","longitude","created_at"
M20260294543,MARIA DA PENHA,-3.82713638905721,-38.59369086182329,2026-04-15 18:40:34.594 -0300
M20260294538,PERTURBAÇÃO AO SOSSEGO ALHEIO,-3.7397788648473997,-39.5445102972565,2026-04-15 18:40:34.599 -0300
M20260294535,MARIA DA PENHA,-5.722457220575387,-39.004696899080585,2026-04-15 18:40:34.603 -0300
M20260294559,PERTURBAÇÃO AO SOSSEGO ALHEIO,-3.675262452762797,-40.34464434635992,2026-04-15 18:50:28.615 -0300
M20260294555,ROUBO,-3.7864248773552998,-38.49034597425908,2026-04-15 18:50:28.652 -0300
M20260294556,ROUBO DE VEÍCULO,-3.761992281025981,-38.4857357165697,2026-04-15 18:50:28.655 -0300
M20260294554,PERTURBAÇÃO AO SOSSEGO ALHEIO,-3.713361550699149,-38.5915437685377,2026-04-15 18:50:28.659 -0300
M20260294552,PERTURBAÇÃO AO SOSSEGO ALHEIO,-3.8254081255344405,-38.58116064509912,2026-04-15 18:50:28.662 -0300
M20260294550,MARIA DA PENHA,-4.337569338452596,-38.872306537265054,2026-04-15 18:50:28.666 -0300
M20260294549,PERTURBAÇÃO AO SOSSEGO ALHEIO,-3.775562704165074,-38.48277114231561,2026-04-15 18:50:28.670 -0300
M20260294569,PERTURBAÇÃO AO SOSSEGO ALHEIO,-3.727544004961344,-40.989376288064655,2026-04-15 19:00:28.549 -0300
M20260294568,MARIA DA PENHA,-3.839608912347733,-38.55279177001831,2026-04-15 19:00:28.585 -0300
M20260294591,PERTURBAÇÃO AO SOSSEGO ALHEIO,-3.8157155508419676,-38.580475189508945,2026-04-15 19:10:31.468 -0300
M20260294585,LESÃO CORPORAL,-3.8120183036531246,-38.59928702271501,2026-04-15 19:10:31.472 -0300
M20260294584,TRÁFICO,-3.7944923939696142,-38.545624743011246,2026-04-15 19:10:31.476 -0300
M20260294582,PERTURBAÇÃO AO SOSSEGO ALHEIO,-7.180533540729949,-39.31035610101025,2026-04-15 19:10:31.480 -0300
M20260294581,PORTE ILEGAL DE ARMA,-6.002881145375291,-40.29431766329595,2026-04-15 19:10:31.484 -0300
M20260294607,CONSUMO DE ENTORPECENTES,-3.7590447548244486,-38.48363760108632,2026-04-15 19:20:29.693 -0300
M20260294606,FURTO,-4.356720662543543,-39.306615782908914,2026-04-15 19:20:29.731 -0300
M20260294603,CONSUMO DE ENTORPECENTES,-5.107667412519332,-38.37283631445675,2026-04-15 19:20:29.735 -0300
M20260294642,PORTE ILEGAL DE ARMA,-3.118083172941201,-40.830027391671656,2026-04-15 19:40:29.648 -0300
M20260294639,TRÁFICO,-3.734625637362553,-38.672476373192524,2026-04-15 19:40:29.709 -0300
M20260294637,MARIA DA PENHA,-3.7789531429178833,-38.50515659253473,2026-04-15 19:40:29.713 -0300
M20260294664,EMBRIAGUEZ E DESORDEM,-7.223920635654547,-39.3157191615943,2026-04-15 19:50:28.663 -0300
M20260294660,TRÁFICO,-3.7458926428470067,-38.60705771555779,2026-04-15 19:50:28.706 -0300
M20260294659,PERTURBAÇÃO AO SOSSEGO ALHEIO,-3.8797217578205805,-38.67817248946007,2026-04-15 19:50:28.711 -0300
M20260294654,PORTE ILEGAL DE ARMA,-4.321908744615128,-38.884150360376665,2026-04-15 19:50:28.722 -0300
M20260294652,MARIA DA PENHA,-3.768836392900439,-38.49440521721975,2026-04-15 19:50:28.726 -0300
M20260294651,MARIA DA PENHA,-7.2423679142996225,-39.42067250284984,2026-04-15 19:50:28.731 -0300
M20260294649,PERTURBAÇÃO AO SOSSEGO ALHEIO,-3.7576747245538624,-38.65991485115081,2026-04-15 19:50:28.735 -0300
M20260294648,PERTURBAÇÃO AO SOSSEGO ALHEIO,-3.7256605766846436,-38.60385699619626,2026-04-15 19:50:28.739 -0300
M20260294678,PERTURBAÇÃO AO SOSSEGO ALHEIO,-7.218348227573764,-39.322134557766155,2026-04-15 20:00:30.244 -0300
M20260294675,TRÁFICO,-6.358405683109188,-39.29774088517594,2026-04-15 20:00:30.284 -0300
M20260294672,MARIA DA PENHA,-4.89168601454359,-38.99104267309346,2026-04-15 20:00:30.289 -0300
M20260294701,PERTURBAÇÃO AO SOSSEGO ALHEIO,-3.7143641989340264,-38.59409118036653,2026-04-15 20:10:27.892 -0300
M20260294698,TRÁFICO,-3.756191543311983,-38.59469615073425,2026-04-15 20:10:27.934 -0300
M20260294697,PERTURBAÇÃO AO SOSSEGO ALHEIO,-3.7489409127820945,-38.5627213395909,2026-04-15 20:10:27.938 -0300
M20260294696,PERTURBAÇÃO AO SOSSEGO ALHEIO,-6.520032881096155,-39.51826200286922,2026-04-15 20:10:27.942 -0300
M20260294688,ROUBO DE VEÍCULO,-3.811570911200809,-38.59689767420052,2026-04-15 20:10:27.947 -0300
